,xmin,ymin,xmax,ymax,confidence_score,class_names,y_centre,x_centre,match,columnNo
0,110.0,878.0,174.0,897.0,0.8546325,cell,887.5,142.0,False,1.0
1,87.0,1043.0,198.0,1063.0,0.81367904,cell,1053.0,142.5,True,1.0
2,112.0,850.0,174.0,867.0,0.86986035,cell,858.5,143.0,True,1.0
3,90.0,1016.0,197.0,1038.0,0.85734046,cell,1027.0,143.5,True,1.0
4,227.0,1015.0,333.0,1035.0,0.8658288,cell,1025.0,280.0,False,2.0
5,227.0,1042.0,335.0,1062.0,0.8375962,cell,1052.0,281.0,True,2.0
6,260.0,876.0,320.0,895.0,0.8634851,cell,885.5,290.0,True,2.0
7,259.0,847.0,336.0,865.0,0.8858785,cell,856.0,297.5,True,2.0
8,361.0,1041.0,576.0,1062.0,0.84504956,cell,1051.5,468.5,False,3.0
9,363.0,948.0,580.0,968.0,0.8616077,cell,958.0,471.5,True,3.0
10,364.0,989.0,646.0,1010.0,0.79703224,cell,999.5,505.0,True,3.0
11,453.0,844.0,566.0,864.0,0.8763792,cell,854.0,509.5,True,3.0
12,690.0,841.0,795.0,866.0,0.8453133,cell,853.5,742.5,False,4.0
13,953.0,1038.0,1039.0,1056.0,0.8446614,cell,1047.0,996.0,False,5.0
14,953.0,1012.0,1042.0,1031.0,0.8359649,cell,1021.5,997.5,True,5.0
15,962.0,840.0,1040.0,859.0,0.8610944,cell,849.5,1001.0,True,5.0
16,1217.0,836.0,1316.0,855.0,0.8816169,cell,845.5,1266.5,False,6.0
17,1465.0,933.0,1595.0,952.0,0.877827,cell,942.5,1530.0,False,7.0
18,1467.0,1004.0,1598.0,1022.0,0.82115734,cell,1013.0,1532.5,True,7.0
19,1470.0,1030.0,1598.0,1050.0,0.8548498,cell,1040.0,1534.0,True,7.0
20,1515.0,827.0,1591.0,846.0,0.8686768,cell,836.5,1553.0,True,7.0
